Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.299_k141,95.17,6.68,99.41,5.55,0.52,11.15,8.6,89.3,1.51
coassembly.bin.304_k141,38.49,4.54,99.77,1.47,0.07,5.04,2.64,19.83,0.61
coassembly.bin.315_k141,0.09,99.91,0.12,0.52,0.04,8.8,4.4,0.77,0.44
coassembly.bin.324_k141,3.03,99.39,4.89,2.28,0.07,49.52,95.36,4.06,0.05
coassembly.bin.330_k141,9.42,99.72,10.4,9.06,0.85,1.91,6.11,4.83,0.9
coassembly.bin.334_k141,99.98,19.15,6.74,2.11,0.14,1.55,5.28,9.8,0.75
coassembly.bin.33_k141,14.99,75.09,57.13,39.43,4.66,97.92,83.05,10.53,9.02
coassembly.bin.341_k141,0.21,25.61,1.05,94.37,93.62,18.53,29.04,0.06,98.68
coassembly.bin.34_k141,2.93,97.94,3.29,99.23,20.32,17.08,59.97,2.09,23.49
coassembly.bin.352_k141,0.09,43.98,0.46,99.61,67.24,69.85,82.3,0.11,93.23
coassembly.bin.356_k141,9.53,61.66,15.54,84.31,64.82,90.18,77.73,12.32,99.27
coassembly.bin.357_k141,8.89,98.73,9.98,2.41,0.68,95.9,41.47,6.36,1.04
coassembly.bin.35_k141,1.2,99.46,2.0,2.64,0.6,40.61,20.31,1.4,1.1
coassembly.bin.363_k141,9.38,37.9,13.33,97.95,92.7,28.66,29.83,8.33,57.83
coassembly.bin.372_k141,3.86,99.61,7.22,3.97,1.5,25.15,79.26,4.35,2.39
coassembly.bin.374_k141,29.3,10.47,99.66,4.39,0.32,4.71,12.43,49.3,1.29
coassembly.bin.376_k141,10.24,15.04,66.19,78.99,15.99,96.55,87.04,60.65,10.29
coassembly.bin.377_k141,24.32,7.0,99.92,0.98,0.29,0.75,1.56,83.83,0.94
coassembly.bin.378_k141,0.1,0.29,0.27,99.95,0.15,0.66,0.27,0.18,0.17
coassembly.bin.385_k141,23.73,97.43,23.34,14.99,7.03,22.21,25.84,23.74,9.85
coassembly.bin.53_k141,2.9,2.55,99.8,0.84,0.33,0.85,1.45,5.25,0.51
coassembly.bin.63_k141,43.67,98.94,24.86,4.16,0.78,64.18,58.81,16.44,1.3
coassembly.bin.64_k141,0.35,98.38,1.69,0.42,0.09,22.95,78.04,1.94,0.12
coassembly.bin.66_k141,99.1,10.78,52.63,8.67,1.07,4.69,7.35,21.18,2.55
coassembly.bin.70_k141,29.57,0.11,99.89,0.05,0.02,0.12,0.06,18.04,0.03
coassembly.bin.73_k141,14.82,40.32,20.41,23.13,19.75,99.16,51.56,13.08,8.54
