Orthogroup	Duplications (all)	Duplications (50% support)
OG0000996	11	2
OG0000997	13	6
OG0000998	4	2
OG0000999	16	14
OG0001000	7	1
OG0001001	13	1
OG0001002	8	4
OG0001003	3	1
OG0001004	3	0
OG0001005	5	0
OG0001006	6	2
OG0001007	7	4
OG0001008	7	5
OG0001009	26	7
OG0001010	19	5
OG0001011	7	4
OG0001012	6	2
OG0001013	2	1
OG0001014	11	5
OG0001015	9	4
OG0001016	2	1
OG0001017	10	4
OG0001018	15	2
OG0001019	4	2
OG0001020	3	1
OG0001021	13	3
OG0001022	3	0
OG0001023	6	3
OG0001024	13	3
OG0001025	10	3
OG0001026	9	6
OG0001027	8	4
OG0001028	10	3
OG0001029	4	1
OG0001030	4	1
OG0001031	12	3
OG0001032	8	0
OG0001033	3	0
OG0001034	4	1
OG0001035	6	4
OG0001036	12	5
OG0001037	5	2
OG0001038	6	1
OG0001039	6	0
OG0001040	12	5
OG0001041	3	1
OG0001042	1	0
OG0001043	6	4
OG0001044	3	3
OG0001045	2	1
OG0001046	2	1
OG0001047	10	3
OG0001048	3	0
OG0001049	7	2
OG0001050	2	1
OG0001051	5	1
OG0001052	6	2
OG0001053	13	5
OG0001054	22	9
OG0001055	15	6
OG0001056	15	5
OG0001057	5	0
OG0001058	4	1
OG0001059	5	2
OG0001060	6	3
OG0001061	14	10
OG0001062	9	3
OG0001063	3	0
OG0001064	4	0
OG0001065	5	3
OG0001066	9	5
OG0001067	10	5
OG0001068	7	5
OG0001069	8	0
OG0001070	3	0
OG0001071	9	3
OG0001072	7	1
OG0001073	10	7
OG0001074	5	1
OG0001075	4	0
OG0001076	3	2
OG0001077	3	1
OG0001078	2	0
OG0001079	4	1
OG0001080	3	1
OG0001081	5	1
OG0001082	4	3
OG0001083	14	8
OG0001084	8	4
OG0001085	6	3
OG0001086	6	1
OG0001087	3	0
OG0001088	4	0
OG0001089	6	0
OG0001090	9	4
OG0001091	4	3
OG0001092	3	2
OG0001093	13	7
OG0001094	4	0
OG0001095	3	0
OG0001096	5	3
OG0001097	11	4
OG0001098	5	0
OG0001099	7	5
OG0001100	6	2
OG0001101	4	1
OG0001102	7	4
OG0001103	7	2
OG0001104	3	1
OG0001105	3	2
OG0001106	27	20
OG0001107	58	58
OG0001108	56	56
OG0001109	31	18
OG0001110	13	8
OG0001111	2	0
OG0001112	4	0
OG0001113	3	0
OG0001114	3	0
OG0001115	6	4
OG0001116	1	0
OG0001117	5	2
OG0001118	10	5
OG0001119	9	3
OG0001120	10	6
OG0001121	4	0
OG0001122	10	4
OG0001123	7	2
OG0001124	4	2
OG0001125	6	2
OG0001126	8	4
OG0001127	7	0
OG0001128	7	1
OG0001129	8	2
OG0001130	4	2
OG0001131	5	2
OG0001132	4	2
OG0001133	5	2
OG0001134	11	3
OG0001135	3	0
OG0001136	7	5
OG0001137	5	2
OG0001138	5	1
OG0001139	3	0
OG0001140	4	3
OG0001141	12	1
OG0001142	3	2
OG0001143	5	2
OG0001144	5	3
OG0001145	7	2
OG0001146	4	1
OG0001147	3	0
OG0001148	4	2
OG0001149	1	0
OG0001150	3	1
OG0001151	4	2
OG0001152	1	0
OG0001153	4	2
OG0001154	6	1
OG0001155	4	1
OG0001156	13	4
OG0001157	7	3
OG0001158	5	3
OG0001159	1	0
OG0001160	9	3
OG0001161	15	9
OG0001162	4	1
OG0001163	5	1
OG0001164	4	3
OG0001165	12	5
OG0001166	9	1
OG0001167	6	1
OG0001168	57	57
OG0001169	57	57
OG0001170	6	3
OG0001171	4	2
OG0001172	3	1
OG0001173	3	2
OG0001174	2	1
OG0001175	3	1
OG0001176	11	3
OG0001177	9	5
OG0001178	3	0
OG0001179	5	2
OG0001180	6	2
OG0001181	9	4
OG0001182	6	4
OG0001183	4	3
OG0001184	3	1
OG0001185	12	4
OG0001186	6	4
OG0001187	3	1
OG0001188	14	6
OG0001189	14	5
OG0001190	4	2
OG0001191	2	0
OG0001192	7	5
OG0001193	3	1
OG0001194	5	2
OG0001195	6	4
OG0001196	8	8
OG0001197	6	3
OG0001198	3	2
OG0001199	5	4
OG0001200	4	0
OG0001201	5	4
OG0001202	1	0
OG0001203	3	2
OG0001204	3	2
OG0001205	2	0
OG0001206	3	0
OG0001207	19	13
OG0001208	2	0
OG0001209	4	2
OG0001210	6	4
OG0001211	2	0
OG0001212	2	1
OG0001213	7	5
OG0001214	3	0
OG0001215	9	2
OG0001216	16	7
OG0001217	5	4
OG0001218	6	1
OG0001219	3	1
OG0001220	22	10
OG0001221	4	1
OG0001222	50	47
OG0001223	54	54
OG0001224	5	2
OG0001225	5	0
OG0001226	2	0
OG0001227	2	2
OG0001228	1	0
OG0001229	5	2
OG0001230	5	2
OG0001231	3	0
OG0001232	4	2
OG0001233	15	9
OG0001234	3	1
OG0001235	2	1
OG0001236	3	1
OG0001237	3	1
OG0001238	11	1
OG0001239	6	3
OG0001240	3	1
OG0001241	2	0
OG0001242	5	1
OG0001243	2	0
OG0001244	5	4
OG0001245	5	1
OG0001246	4	1
OG0001247	8	6
OG0001248	6	2
OG0001249	3	0
OG0001250	5	2
OG0001251	7	2
OG0001252	4	0
OG0001253	4	3
OG0001254	17	8
OG0001255	5	3
OG0001256	2	0
OG0001257	3	1
OG0001258	4	2
OG0001259	2	1
OG0001260	3	1
OG0001261	4	2
OG0001262	4	0
OG0001263	6	4
OG0001264	3	2
OG0001265	5	0
OG0001266	5	3
OG0001267	3	2
OG0001268	3	2
OG0001269	15	10
OG0001270	4	1
OG0001271	2	0
OG0001272	3	2
OG0001273	3	0
OG0001274	11	8
OG0001275	6	6
OG0001276	6	2
OG0001277	6	2
OG0001278	4	2
OG0001279	5	0
OG0001280	5	3
OG0001281	5	1
OG0001282	3	1
OG0001283	4	3
OG0001284	6	3
OG0001285	6	3
OG0001286	2	0
OG0001287	4	1
OG0001288	3	1
OG0001289	3	2
OG0001290	7	3
OG0001291	6	5
OG0001292	8	1
OG0001293	3	1
OG0001294	4	3
OG0001295	6	0
OG0001296	16	6
OG0001297	2	1
OG0001298	4	1
OG0001299	4	2
OG0001300	2	0
OG0001301	29	20
OG0001302	16	11
OG0001303	20	10
OG0001304	18	9
OG0001305	14	6
OG0001306	5	4
OG0001307	3	2
OG0001308	2	0
OG0001309	3	0
OG0001310	3	2
OG0001311	5	3
OG0001312	12	2
OG0001313	4	2
OG0001314	2	0
OG0001315	10	2
OG0001316	2	0
OG0001317	4	2
OG0001318	3	1
OG0001319	2	1
OG0001320	4	3
OG0001321	4	1
OG0001322	5	4
OG0001323	5	5
OG0001324	6	1
OG0001325	1	0
OG0001326	5	2
OG0001327	2	0
OG0001328	5	2
OG0001329	3	2
OG0001330	4	3
OG0001331	4	2
OG0001332	3	1
OG0001333	2	1
OG0001334	10	3
OG0001335	3	1
OG0001336	6	3
OG0001337	3	2
OG0001338	15	3
OG0001339	3	1
OG0001340	4	2
OG0001341	3	1
OG0001342	6	4
OG0001343	5	1
OG0001344	5	1
OG0001345	4	1
OG0001346	4	1
OG0001347	6	2
OG0001348	5	3
OG0001349	3	2
OG0001350	3	2
OG0001351	12	6
OG0001352	4	1
OG0001353	3	2
OG0001354	42	41
OG0001355	3	1
OG0001356	6	2
OG0001357	6	3
OG0001358	1	0
OG0001359	5	3
OG0001360	1	0
OG0001361	7	4
OG0001362	4	1
OG0001363	4	2
OG0001364	4	3
OG0001365	3	1
OG0001366	4	3
OG0001367	4	2
OG0001368	4	2
OG0001369	2	0
OG0001370	4	0
OG0001371	2	1
OG0001372	6	5
OG0001373	3	1
OG0001374	16	8
OG0001375	5	3
OG0001376	5	4
OG0001377	4	2
OG0001378	3	2
OG0001379	2	0
OG0001380	4	1
OG0001381	4	1
OG0001382	3	0
OG0001383	5	3
OG0001384	3	1
OG0001385	3	1
OG0001386	2	0
OG0001387	20	13
OG0001388	2	1
